施設種別,地区,保育園名,所在地,緯度,経度,種別,電話番号,入園可能月齢,保育年齢別定員　0歳,保育年齢別定員　1歳,保育年齢別定員　2歳,保育年齢別定員　3歳,保育年齢別定員　4歳,保育年齢別定員　5歳,保育年齢別定員　合計,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日,運営事業者(指定管理者),保育園ホームページ
,,子ども家庭支援センター「こどものへや」,江戸川区船堀4丁目2番5号　勤労福祉会館内1階,35.685187,139.8653337,,03-3877-2460,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/kateishien.html
,,共育プラザ南小岩「子育てひろば」,江戸川区南小岩4丁目5番8号,35.7209228,139.8857753,,03-3673-2206,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/plaza_minamikoiwa/index.html
,,共育プラザ一之江・子育てひろば,江戸川区一之江3丁目13番7号,35.6898376,139.8843134,,03-3652-5911,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/plaza_ichinoe/index.html
,,共育プラザ小岩・子育てひろば,江戸川区北小岩2丁目14番17号,35.7400201,139.8848239,,03-3672-0604,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/plaza_koiwa/index.html
,,共育プラザ平井・子育てひろば,江戸川区平井7丁目21番6号,35.7145379,139.8401941,,03-3618-4031,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/plaza_hirai/index.html
,,共育プラザ葛西・子育てひろば,江戸川区宇喜田町175番地,35.6734073,139.8608207,,03-3688-8611,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/plaza_kasai/index.html
,,中央健康サポートセンター・子育てひろば,江戸川区中央4丁目24番19号,35.7096535,139.8683087,,03-5661-2467,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/chuo.html
,,清新町健康サポートセンター・子育てひろば,江戸川区清新町1丁目3番11号,35.663032,139.8558199,,03-3878-1221,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/seishincho.html
,,鹿骨健康サポートセンター・子育てひろば,江戸川区鹿骨1丁目55番10号,35.7097145,139.8905373,,03-3678-8711,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/shishibone.html
,,小松川健康サポートセンター・子育てひろば,江戸川区小松川3丁目6番1号,35.6963211,139.8487507,,03-3683-5531,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/komatsugawa.html
,,ベーテルひろば（NPO法人）,江戸川区東葛西8-11-33 エストパル1C号室,35.6567322,139.8769016,,03-3686-8350,,,,,,,,,,,,,,,,,http://tokyo-bethel.org/
,,中葛西子育てひろば,江戸川区中葛西1丁目2番8号　宇喜田ホームズ中庭（1階）,35.6689994,139.8681037,,,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/hiroba.html
,,臨海らっこルーム,江戸川区臨海町5丁目1番2号　都営臨海町5丁目アパート2号棟1,35.6430257,139.8691393,,03-3686-2340,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/rinkairakko.html
,,堀江らっこルーム,江戸川区南葛西3丁目16番8号　公社堀江住宅8号棟1階,35.6480173,139.8705514,,03-3688-7416,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/horierakko.html
,,共育プラザ南篠崎・子育てひろば,江戸川区南篠崎町3丁目12番8号,35.6966719,139.8989531,,03-3678-8241,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/plaza_minamishinozaki/index.html
,,小岩健康サポートセンター・子育てひろば,江戸川区東小岩3丁目23番3号,35.7338719,139.894124,,03-3658-3171,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/koiwa.html
,,東部健康サポートセンター・子育てひろば,江戸川区瑞江2丁目5番7号（東部フレンドホール3階）,35.6940377,139.8978703,,03-3678-6441・6442・6443,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/tobu.html
,,葛西健康サポートセンター・子育てひろば,江戸川区中葛西3丁目10番1号,35.6658143,139.8695256,,03-3688-0154,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/kasai.html
,,なぎさ健康サポートセンター・子育てひろば,江戸川区南葛西7丁目1番27号,35.6457363,139.8812814,,03-5675-2515,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kenkofukushi/kenko/nagisa.html
,,グリーンパレス,江戸川区松島1丁目38番1号,35.7058267,139.8662522,,03-3653-5151,,,,,,,,,,,,,,,,,http://www.city.edogawa.tokyo.jp/shisetsuguide/bunya/kosodate/hiroba/greenpalace.html
,,あずさわ児童館,板橋区小豆沢3-9-2-103,35.78055254,139.6960174,,03-3966-2825,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/azuj/index.html
,,大山東児童館,板橋区大山東町8-7,35.74746404,139.7061018,,03-3579-6767,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/oyamahj/index.html
,,上板橋児童館,板橋区上板橋2-3-8,35.76169547,139.6737793,,03-3933-6970,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/kamij/index.html
,,紅梅児童館,板橋区徳丸6-2-10,35.77640453,139.6630818,,03-3934-6477,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/kobaij/index.html
,,さかうえ児童館,板橋区小豆沢1-20-17,35.77569326,139.7022981,,03-3965-9733,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/sakauej/index.html
,,清水児童館,板橋区清水町72-7,35.76538538,139.7046049,,03-3963-3313,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/shimizuj/index.html
,,志村児童館,板橋区志村2-16-11,35.7749649,139.6858318,,03-3969-5881,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/shimuj/index.html
,,志村橋児童館,板橋区舟渡3-6-3,35.79354685,139.6801598,,03-3966-6849,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/sbashij/index.html
,,しらさぎ児童館,板橋区成増5-19-4,35.78805343,139.6339624,,03-3979-3895,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/shiraj/index.html
,,新河岸児童館,板橋区新河岸1-3-2-101,35.7937633,139.664161,,03-3937-8337,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/shingaj/index.html
,,高島平児童館,板橋区高島平3-12-28,35.78700132,139.6587415,,03-3979-3894,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/takaj/index.html
,,東新児童館,板橋区東新町2-43-5,35.75259118,139.6806096,,03-3972-8020,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/toshinj/index.html
,,なります児童館,板橋区成増3-34-21,35.78117464,139.6315036,,03-3939-6502,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/narij/index.html
,,西徳児童館,板橋区西台4-4-37,35.77020916,139.6680585,,03-3936-2409,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/nishitoj/index.html
,,蓮根児童館,板橋区蓮根2-6-15,35.78129924,139.6765946,,03-3968-0688,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/hasuj/index.html
,,蓮根第二児童館,板橋区蓮根3-15-1-104,35.78903786,139.6765475,,03-3969-5582,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/hasu3j/index.html
,,はすのみ児童館,板橋区高島平1-50-2,35.78405849,139.671563,,03-3934-5980,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/hasunoj/index.html
,,氷川児童館,板橋区氷川町24-2,35.75436514,139.7051674,,03-3961-5723,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/hikawaj/index.html
,,富士見台児童館,板橋区前野町1-8-1,35.76401331,139.69623,,03-3965-8524,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/fujimij/index.html
,,緑が丘児童館,板橋区中台3-27-2,35.77326021,139.6791025,,03-3934-4176,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/midorij/index.html
,,南板橋児童館,板橋区板橋1-39-1,35.74779264,139.7149683,,03-3963-4518,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/mitaj/index.html
,,南前野児童館,板橋区前野町2-23-1,35.7657545,139.6882041,,03-3967-3870,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/mmaenoj/index.html
,,向原児童館,板橋区向原1-18-5,35.74247383,139.6848543,,03-3974-6736,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/mukaij/index.html
,,弥生児童館,板橋区弥生町16-3,35.75316198,139.6942392,,03-3956-8311,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/yayoij/index.html
,,ゆりの木児童館,板橋区赤塚新町3-32-11-209,35.76922728,139.6386133,,03-3977-2651,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/yurij/index.html
,,子ども家庭支援センター,板橋区栄町36-1,35.75096502,139.7053164,,03-3579-2656,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_kurashi/009/009826.html
,,赤塚児童館,板橋区赤塚6-38-1,35.77884326,139.6449369,,03-3938-8821,,,,,,,,,,,,,,,,,http://www.city.itabashi.tokyo.jp/c_sections/akaj/index.html
認可保育園,芝,芝保育園,東京都港区芝五丁目18番1号101,35.6484,139.747716,区立,03-3455-4669,3か月,18.0,26.0,30.0,30.0,30,30.0,164.0,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/12/index.html
認可保育園,芝,神明保育園,東京都港区浜松町一丁目6番7号　プラザ神明1～3階,35.658802,139.757421,区立,03-5733-6822,3か月,21.0,25.0,29.0,30.0,30,30.0,165.0,9:00,17:00,7:15,18:15,1歳の誕生日,6:15から22:00まで,年末年始,(株)日本保育サービス,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/21/index.html
認可保育園,芝,芝公園保育園,東京都港区芝公園二丁目7番3号,35.654291,139.750533,区立,03-3438-0435,57日,14.0,22.0,24.0,30.0,30,30.0,150.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/13/index.html
認可保育園,芝,アスク芝公園保育園,東京都港区芝二丁目12番16号,35.651603,139.752593,私立,03-5439-9398,57日,6.0,10.0,11.0,11.0,11,11.0,60.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,(株)日本保育サービス,https://www.nihonhoiku.co.jp/blog/shibakoen/
認可保育園,芝,太陽の子三田保育園,東京都港区三田一丁目2番18号　TTD PLAZAビル2階,35.655004,139.740635,私立,03-5439-6390,57日,9.0,12.0,12.0,12.0,12,12.0,69.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,HITOWAキッズライフ(株),https://www.kidslife-nursery.com/facility/tokyo/minato/mita1/
認可保育園,芝,あい保育園赤羽橋,東京都港区三田一丁目3番31号　Forecast三田 2階,35.654526,139.74357,私立,03-6453-9325,57日,6.0,12.0,12.0,10.0,10,10.0,60.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,(株)アイグラン,https://aigran.co.jp/nursery_list/1-1153/
認可保育園,芝,こころ新橋保育園,東京都港区新橋六丁目4番3号　ル・グラシエルビル7号館2階,35.663617,139.753196,私立,03-6432-0941,57日,5.0,5.0,11.0,11.0,11,11.0,54.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,(学)太陽学院,https://www.taiyo.ed.jp/kokoro-shinbashi/
認可保育園,芝,グローバルキッズ虎ノ門保育園,東京都港区虎ノ門三丁目19番13号　虎ノ門スピリットビル3階,35.663091,139.74683,私立,03-5473-7668,57日,6.0,10.0,10.0,10.0,10,10.0,56.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,(株)グローバルキッズ,https://www.gkids.co.jp/facilities/nursery_061.html
認可保育園,芝,小鳩ナーサリースクール浜離宮,東京都港区浜松町一丁目3番1号,35.659878,139.756993,私立,03-6432-0123,3か月,6.0,7.0,7.0,7.0,7,7.0,41.0,9:00,17:00,7:15,18:15,3か月,20:15まで,日・祝・年末年始,(株)チャイルド・ピース,https://www.kobato.net/hamarikyu/
認可保育園,芝,ニチイキッズ芝公園保育園,東京都港区芝二丁目1番27号　穴水ビル2階,35.653349,139.751196,私立,03-5765-5075,57日,6.0,7.0,8.0,8.0,8,8.0,45.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,(株)ニチイ学館,https://www.nichiikids.net/nursery/other/shibakouen/index.html
認可保育園,芝,にじいろ保育園竹芝,東京都港区海岸一丁目13番15号,35.654298,139.761854,私立,03-6381-5195,57日,3.0,5.0,6.0,6.0,6,6.0,32.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,ライクアカデミー(株),https://www.like-kn.co.jp/academy/establishment/nijiiro/takeshiba/index.html
認可保育園,芝,にじいろ保育園新橋,東京都港区新橋六丁目11番13号,35.661615,139.754608,私立,03-6432-0540,57日,3.0,10.0,11.0,,,,24.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,ライクアカデミー(株),https://www.like-kn.co.jp/academy/establishment/nijiiro/shinbashi/index.html
認可保育園,芝,（仮称）すくすく保育園浜松町,東京都港区浜松町一丁目1番（住居表示未定）,,,私立,未定,未定,6.0,14.0,15.0,15.0,15,15.0,80.0,9:00,17:00,7:15,18:15,未定,20:15まで,日・祝・年末年始,(福)寿広福祉会,
認可保育園,麻布,南麻布保育園,東京都港区南麻布四丁目2番29号101,35.647872,139.72407,区立,03-3442-8068,3か月,12.0,18.0,18.0,18.0,18,18.0,102.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/10/index.html
認可保育園,麻布,本村保育園,東京都港区南麻布四丁目6番7号,35.651113,139.727587,区立,03-3444-2385,3か月,12.0,19.0,20.0,20.0,20,20.0,111.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/05/index.html
認可保育園,麻布,西麻布保育園,東京都港区西麻布二丁目13番3号,35.660833,139.722718,区立,03-3409-4924,3か月,13.0,20.0,24.0,24.0,24,24.0,129.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/11/index.html
認可保育園,麻布,麻布保育園,東京都港区六本木五丁目16番46号,35.660657,139.735091,区立,03-5545-7135,3か月,15.0,20.0,25.0,27.0,30,30.0,147.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/03/index.html
認可保育園,麻布,飯倉保育園,東京都港区東麻布一丁目21番2号,35.655912,139.743532,区立,03-3583-1786,3か月,12.0,18.0,21.0,26.0,28,28.0,133.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/06/index.html
認可保育園,麻布,東麻布保育園,東京都港区東麻布二丁目1番1号,35.658212,139.74262,区立,03-3584-3811,3か月,17.0,25.0,28.0,30.0,30,34.0,164.0,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始,特定非営利活動法人ワーカーズコープ,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/25/index.html
認可保育園,麻布,元麻布保育園,東京都港区元麻布二丁目14番12号,35.653073,139.730217,区立,03-5422-7338,3か月,22.0,28.0,31.0,31.0,31,31.0,174.0,9:00,17:00,7:15,18:15,1歳の誕生日,22:00まで,年末年始,(福)春和会,https://www.city.minato.tokyo.jp/kodomo/kodomo/kodomo/hoikuen/26/index.html
認可保育園,麻布,まなびの森保育園麻布,東京都港区南麻布一丁目8番11号　東町小学校内,35.650887,139.735832,私立,03-3455-3066,57日,6.0,10.0,11.0,11.0,11,11.0,60.0,9:00,17:00,7:15,18:15,1歳の誕生日の翌日,20:15まで,日・祝・年末年始,(株)こどもの森,http://kodomonomori.co.jp/az/
認可保育園,麻布,あい保育園南麻布,東京都港区南麻布二丁目11番10号　OJビル3階,35.647686,139.735729,私立,03-6453-7970,57日,9.0,15.0,18.0,18.0,18,20.0,98.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,(株)アイグラン,https://aigran.co.jp/nursery_list/1-1206/
認可保育園,麻布,太陽の子南麻布保育園,東京都港区南麻布四丁目11番30号　南麻布渋谷ビル2階,35.646992,139.727149,私立,03-5488-8070,57日,9.0,12.0,12.0,12.0,12,12.0,69.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,HITOWAキッズライフ(株),https://www.kidslife-nursery.com/facility/tokyo/minato/minamiazabu/
認可保育園,麻布,あい保育園元麻布,東京都港区元麻布三丁目2番19号　MOMON六本木ビル2階,35.657381,139.727326,私立,03-6447-1871,57日,6.0,12.0,12.0,10.0,10,10.0,60.0,9:00,17:00,7:15,18:15,57日,20:15まで,日・祝・年末年始,(株)アイグラン,https://aigran.co.jp/nursery_list/1-1158/
認可保育園,麻布,まちの保育園六本木,東京都港区六本木一丁目9番10号　アークヒルズ仙石山森タワー,35.663588,139.741813,私立,03-6441-2478,57日,11.0,13.0,14.0,,,,38.0,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,20:30まで,日・祝・年末年始,ナチュラルスマイルジャパン(株),
認可保育園,麻布,まちの保育園六本木分園,東京都港区虎ノ門五丁目5番1号　アークヒルズ仙石山テラス103,35.663636,139.74188,私立,03-6450-1726,,,,,14.0,9,9.0,32.0,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,20:30まで,日・祝・年末年始,ナチュラルスマイルジャパン(株),
認可保育園,麻布,コスモス西麻布保育園,東京都港区西麻布二丁目2番2号　NK青山ホームズ１階B,35.661597,139.724999,私立,03-6427-3733,57日,3.0,8.0,9.0,10.0,10,10.0,50.0,9:00,17:00,7:15,18:15,1歳の誕生日を過ぎた翌月1日,20:15まで,日・祝・年末年始,(福)千成会,https://www.senseikai.or.jp/publics/index/26/
認可保育園,麻布,AIAI NURSERY麻布十番,東京都港区東麻布二丁目32番7号　麻布アコービル2階,35.656032,139.740453,私立,03-5545-5461,57日,6.0,12.0,13.0,13.0,13,13.0,70.0,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日,19:30まで,日・祝・年末年始,AIAI　Child　Care（株）,https://nursery.aiai-cc.co.jp/facility/azabujyuban/
認可保育園,麻布,ふたばクラブ東麻布保育園,東京都港区東麻布一丁目5番6号,35.657895,139.743181,私立,03-5797-8728,3か月,9.0,10.0,10.0,10.0,10,10.0,59.0,9:00,17:00,7:30,18:30,1歳の誕生日,19:30まで,日・祝・年末年始,双葉教育(株),https://futabaclub.jp/higashiazabu.html
認可保育園,麻布,まなびの森保育園麻布十番,東京都港区南麻布一丁目14番1号,35.651137,139.734086,私立,03-6436-7887,57日,6.0,11.0,11.0,11.0,11,,50.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,(株)こどもの森,http://kodomonomori.co.jp/jb/
認可保育園,麻布,麻布十番ちとせ保育園,東京都港区麻布十番一丁目3番2号,35.656991,139.735836,私立,03-3586-1058,57日,6.0,10.0,11.0,11.0,11,,49.0,9:00,17:00,7:15,18:15,1歳の誕生日,20:15まで,日・祝・年末年始,(福)ちとせ交友会,
認可保育園,麻布,sakura保育園六本木,東京都港区六本木四丁目5番11号,35.664764,139.732417,私立,03-6434-5011,57日,6.0,10.0,12.0,12.0,,,40.0,9:00,17:00,7:30,18:30,1歳の誕生日を過ぎた翌月1日から,20:30まで,日・祝・年末年始,(株)マーシャルアーツドットコム,https://sakurakids.net/
